full_ticker,ticker,name,name_short,name_eng,listed_data,market,security_category,related_department,preferred,face_value,shares_available,corp_code,corp_code2,industry_code
KR7038620001,038620,위즈코프,위즈코프,"WIZ CORP, Inc.",2000/05/04,KOSDAQ,주권,중견기업부,보통주,500,60034187,00264228,00264228,47711
KR7299900001,299900,위지윅스튜디오,위지윅스튜디오,"WYSIWYG STUDIOS CO., LTD.",2018/12/20,KOSDAQ,주권,중견기업부,보통주,500,36443221,01276327,01276327,59120
KR7036090009,036090,위지트,위지트,"WIZIT Co., Ltd.",1999/12/10,KOSDAQ,주권,중견기업부,보통주,500,90231385,00258360,00258360,29272
KR7136540002,136540,윈스,윈스,"Wins co., Ltd.",2011/05/02,KOSDAQ,주권,우량기업부,보통주,500,12211663,00868705,00868705,62021
KR7320000003,320000,윈텍,윈텍,"WINTEC Co.,Ltd.",2019/09/18,KOSDAQ,주권,중견기업부,보통주,100,18499148,01359815,01359815,292
KR7097800007,097800,윈팩,윈팩,WINPAC INC.,2013/03/07,KOSDAQ,주권,벤처기업부,보통주,500,42910385,00536286,00536286,2612
KR7192390003,192390,윈하이텍,윈하이텍,"WINHITECH CO., Ltd.",2014/07/25,KOSDAQ,주권,중견기업부,보통주,500,10656896,00910840,00910840,2511
KR7313760001,313760,윌링스,윌링스,"WILLINGS CO., LTD.",2019/07/25,KOSDAQ,주권,중견기업부,보통주,500,4862000,00863038,00863038,2811
KR7008600009,008600,윌비스보통주,윌비스,TheWillBes,1989/07/28,KOSPI,주권,,보통주,1000,65771912,00104999,00104999,46413
HK0000449303,900340,윙입푸드홀딩스,윙입푸드,WING YIP FOOD (CHINA) HOLDINGS GROUP LIMITED,2018/11/30,KOSDAQ,외국주권,외국기업(소속부없음),보통주,무액면,47973428,01328639,01328639,64992
KR7014830004,014830,유니드 보통주,유니드,UNID,2004/12/03,KOSPI,주권,,보통주,5000,8889843,00159786,00159786,20129
KR7036200004,036200,유니셈,유니셈,UNION SEMICONDUCTOR EQUIPMENT&MATERIALS,1999/12/10,KOSDAQ,주권,우량기업부,보통주,500,30664223,00260569,00260569,29271
KR7018000000,018000,유니슨,유니슨,"UNISON CO., LTD.",1996/01/10,KOSDAQ,주권,중견기업부,보통주,500,121733751,00144243,00144243,29119
KR7047400007,047400,유니온머티리얼보통주,유니온머티리얼,Union Materials Corp.,2009/09/29,KOSPI,주권,,보통주,500,42000000,00369833,00369833,23222
KR7000910000,000910,유니온보통주,유니온,Union,1996/07/03,KOSPI,주권,,보통주,500,15611619,00144252,00144252,23311
KR7203450002,203450,유니온커뮤니티,유니온커뮤니티,"Union community Co., Ltd.",2016/12/07,KOSDAQ,주권,벤처기업부,보통주,500,14679007,00408266,00408266,26429
KR7011330008,011330,유니켐보통주,유니켐,"UNI CHEM.CO.,LTD",1989/12/14,KOSPI,주권,,보통주,500,68710343,00137207,00137207,15110
KR7077500007,077500,유니퀘스트 보통주,유니퀘스트,Uniquest Corporation,2004/08/05,KOSPI,주권,,보통주,500,27329225,00414601,00414601,4659
KR7011320009,011320,유니크,유니크,UNICK CORPORATION,1993/12/29,KOSDAQ,주권,중견기업부,보통주,500,19320695,00147152,00147152,303
KR7086390002,086390,유니테스트,유니테스트,UniTest Inc.,2006/12/05,KOSDAQ,주권,우량기업부,보통주,500,21134126,00540447,00540447,29271
KR7241690007,241690,유니테크노,유니테크노,"UNITEKNO Co.,Ltd",2016/09/20,KOSDAQ,주권,우량기업부,보통주,500,23605590,00531865,00531865,30331
KR7142210004,142210,유니트론텍,유니트론텍,"Unitrontech Co.,Ltd.",2016/02/02,KOSDAQ,주권,중견기업부,보통주,500,12560930,00879020,00879020,46522
KR7121060008,121060,유니포인트,유니포인트,UNIPOINT Corp.,2014/10/24,KONEX,주권,일반기업부,보통주,500,5981670,00445869,00445869,620
KR7048430003,048430,유라테크,유라테크,"YURA TECH. CO., LTD.",2001/01/11,KOSDAQ,주권,우량기업부,보통주,500,11520000,00201742,00201742,281
KR7206650004,206650,유바이오로직스,유바이오로직스,"EuBiologics Co., Ltd.",2017/01/24,KOSDAQ,주권,기술성장기업부,보통주,500,35077992,00927558,00927558,212
